Dates	,,COUNT-None-US,US	MEAN,MEAN,NEG-None-US,US	MEAN,MEAN,SUM-None-US,US	SUM,MEAN,SUM-None-US,US	MEAN,SUM,NEG-None-US,US	SUM,MEAN,NEG-None-US,US	SUM,SUM,NEG-None-US,US	MEAN,SUM,SUM-None-US,US	SUM,SUM,SUM-None-US,US
2001-01-01 00:00:00+00:00	3	0.518518518519	-0.037037037037	-0.333333333333	1.55555555556	2.0	6.0	-0.111111111111	-1.0
2001-01-03 00:00:00+00:00	4	0.21875	-0.15625	-1.25	0.875	1.75	7.0	-0.625	-5.0
2001-01-04 00:00:00+00:00	6	0.0857142857143	0.0547619047619	0.0	0.514285714286	0.5	3.0	0.328571428571	0.0
2001-01-05 00:00:00+00:00	8	0.4375	-0.0302083333333	-0.0625	3.5	1.5	12.0	-0.241666666667	-0.5
2001-01-07 00:00:00+00:00	1	1.0	-1.0	-1.0	1.0	1.0	1.0	-1.0	-1.0
2001-01-08 00:00:00+00:00	9	0.0617283950617	0.518518518519	0.777777777778	0.555555555556	0.555555555556	5.0	4.66666666667	7.0
2001-01-09 00:00:00+00:00	3	0.0	1.26388888889	3.33333333333	0.0	0.0	0.0	3.79166666667	10.0
2001-01-10 00:00:00+00:00	3	0.0	0.833333333333	1.0	0.0	0.0	0.0	2.5	3.0
2001-01-11 00:00:00+00:00	6	0.270707070707	0.574747474747	2.75	1.62424242424	1.5	9.0	3.44848484848	16.5
2001-01-12 00:00:00+00:00	7	0.199585921325	0.226293995859	-1.42857142857	1.39710144928	4.85714285714	34.0	1.58405797101	-10.0
2001-01-13 00:00:00+00:00	2	0.0714285714286	0.0357142857143	0.25	0.142857142857	0.5	1.0	0.0714285714286	0.5
2001-01-14 00:00:00+00:00	3	0.25	0.25	-0.333333333333	0.75	1.0	3.0	0.75	-1.0
2001-01-15 00:00:00+00:00	4	0.625	-0.625	-0.75	2.5	0.75	3.0	-2.5	-3.0
2001-01-16 00:00:00+00:00	2	0.0	0.0714285714286	0.5	0.0	0.0	0.0	0.142857142857	1.0
2001-01-17 00:00:00+00:00	5	0.622164502165	-0.335064935065	1.0	3.11082251082	3.2	16.0	-1.67532467532	5.0
2001-01-18 00:00:00+00:00	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-01-20 00:00:00+00:00	4	0.833333333333	-0.458333333333	-0.25	3.33333333333	1.75	7.0	-1.83333333333	-1.0
2001-01-21 00:00:00+00:00	4	0.5	-0.225	0.0	2.0	1.0	4.0	-0.9	0.0
2001-01-22 00:00:00+00:00	4	0.223214285714	-0.0267857142857	0.0	0.892857142857	0.75	3.0	-0.107142857143	0.0
2001-01-23 00:00:00+00:00	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-01-24 00:00:00+00:00	4	0.145833333333	-0.0625	-0.25	0.583333333333	0.5	2.0	-0.25	-1.0
2001-01-25 00:00:00+00:00	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-01-26 00:00:00+00:00	1	0.75	-0.625	-5.0	0.75	6.0	6.0	-0.625	-5.0
2001-01-27 00:00:00+00:00	3	0.458333333333	0.291666666667	1.0	1.375	1.66666666667	5.0	0.875	3.0
2001-01-28 00:00:00+00:00	1	1.0	-1.0	-1.0	1.0	1.0	1.0	-1.0	-1.0
2001-01-29 00:00:00+00:00	2	0.0	0.75	2.0	0.0	0.0	0.0	1.5	4.0
2001-01-30 00:00:00+00:00	1	0.0	1.0	2.0	0.0	0.0	0.0	1.0	2.0
2001-01-31 00:00:00+00:00	3	0.0	1.0	1.0	0.0	0.0	0.0	3.0	3.0
2001-02-01 00:00:00+00:00	4	0.0	0.75	0.75	0.0	0.0	0.0	3.0	3.0
2001-02-02 00:00:00+00:00	6	0.3	-0.0492063492063	1.25	1.8	0.916666666667	5.5	-0.295238095238	7.5
2001-02-03 00:00:00+00:00	2	0.125	0.4375	0.5	0.25	1.0	2.0	0.875	1.0
2001-02-04 00:00:00+00:00	1	0.666666666667	0.333333333333	1.0	0.666666666667	2.0	2.0	0.333333333333	1.0
2001-02-05 00:00:00+00:00	3	0.0	0.166666666667	0.333333333333	0.0	0.0	0.0	0.5	1.0
2001-02-06 00:00:00+00:00	4	0.09	0.6	3.125	0.36	2.25	9.0	2.4	12.5
2001-02-07 00:00:00+00:00	3	0.111111111111	0.444444444444	0.666666666667	0.333333333333	0.333333333333	1.0	1.33333333333	2.0
2001-02-08 00:00:00+00:00	3	1.06666666667	-0.844444444444	-0.666666666667	3.2	1.33333333333	4.0	-2.53333333333	-2.0
2001-02-09 00:00:00+00:00	2	0.25	0.125	0.5	0.5	1.0	2.0	0.25	1.0
2001-02-10 00:00:00+00:00	2	0.375	-0.0625	-5.0	0.75	12.0	24.0	-0.125	-10.0
2001-02-12 00:00:00+00:00	1	0.5	0.5	1.0	0.5	1.0	1.0	0.5	1.0
2001-02-13 00:00:00+00:00	5	0.0	0.3	0.8	0.0	0.0	0.0	1.5	4.0
2001-02-14 00:00:00+00:00	8	0.427083333333	-0.1875	-0.5	3.41666666667	1.25	10.0	-1.5	-4.0
